DATE,YYMM,MAX,LONG,RF
11535,199108,0.0415260892,0.0393907462,0.0044416667
11566,199109,0.0114546343,0.0172012301,0.0042583333
11596,199110,0.0265127266,0.0222129063,0.0040166667
11627,199111,-0.008434538,-0.009195874,0.003625
11657,199112,0.1431997906,0.1377340096,0.0032333333
11688,199201,0.0272148068,0.0254210924,0.0032
11719,199202,0.026312566,0.0211451301,0.003275
11748,199203,0.0187623713,0.0185314792,0.003375
11779,199204,0.0420251569,0.0434457738,0.0030833333
11809,199205,0.0270279266,0.0268599675,0.0030833333
11840,199206,-0.047417677,-0.040631761,0.002975
11870,199207,0.074921079,0.0707983166,0.00265
11901,199208,-0.024691184,-0.02551146,0.0026333333
11932,199209,0.0218130973,0.0202953042,0.0022416667
11962,199210,0.0297522865,0.0206876549,0.0024666667
11993,199211,0.0184166284,0.0168249699,0.002725
12023,199212,0.0556643074,0.0443760502,0.0025666667
12054,199301,-0.006427822,-0.007139297,0.0024166667
12085,199302,0.0355242731,0.0371850714,0.0024583333
12113,199303,0.0248292163,0.021939118,0.0024083333
12144,199304,-0.01281474,-0.015045199,0.002425
12174,199305,0.0228017262,0.0244689355,0.00255
12205,199306,0.0391968386,0.037775677,0.002525
12235,199307,-0.013766628,-0.017393768,0.002525
12266,199308,0.0115463585,0.0122062796,0.0025083333
12297,199309,-0.000587011,-0.002506869,0.0024333333
12327,199310,0.0593447687,0.0599603724,0.002525
12358,199311,-0.020802499,-0.012641301,0.0026166667
12388,199312,0.0464329133,0.0467786779,0.0025
12419,199401,0.0272996722,0.0237523471,0.002475
12450,199402,0.0004791889,-0.002907902,0.0028
12478,199403,-0.042597443,-0.038084924,0.0028916667
12509,199404,0.0366160357,0.0380335052,0.0032166667
12539,199405,-0.024918614,-0.020403277,0.003475
12570,199406,-0.025994986,-0.026648943,0.00345
12600,199407,0.0659874638,0.0651123788,0.0035583333
12631,199408,0.0420675263,0.0445609162,0.0038
12662,199409,-0.00622005,-0.00425232,0.0038916667
12692,199410,0.0669307938,0.0656374292,0.0041833333
12723,199411,0.0079936484,0.0059903429,0.004625
12753,199412,0.0244046665,0.024640682,0.0046083333
12784,199501,0.0464148146,0.0432968613,0.0048666667
12815,199502,0.0415210934,0.0405239298,0.0047916667
12843,199503,0.0326330567,0.0351451363,0.00475
12874,199504,0.0455391941,0.0487923211,0.0047416667
12904,199505,0.0457918919,0.0440645937,0.0046916667
12935,199506,0.0238367394,0.0236661302,0.004525
12965,199507,0.0086852537,0.012484202,0.0045166667
12996,199508,-0.010091837,-0.011618312,0.0043916667
13027,199509,0.0924310746,0.0859317623,0.0043666667
13057,199510,0.0478276147,0.0461034718,0.004425
13088,199511,0.0338627766,0.0335525988,0.0044333333
13118,199512,0.0305329682,0.0269516535,0.0041333333
13149,199601,0.0098677525,0.0165982323,0.0040916667
13180,199602,0.0193702495,0.0228138238,0.0040666667
13209,199603,0.0312662881,0.0271077327,0.0041666667
13240,199604,0.0128306776,0.0092020426,0.004175
13270,199605,0.0391094142,0.0378193433,0.0042
13301,199606,0.0461054214,0.0424568322,0.0041916667
13331,199607,-0.051264274,-0.044503998,0.0043166667
13362,199608,0.0120396611,0.0143755649,0.0042833333
13393,199609,0.0712321201,0.0720265331,0.0040916667
13423,199610,0.0227957712,0.0236275588,0.004175
13454,199611,0.0680022579,0.0732258874,0.0041583333
13484,199612,0.0220725089,0.0203833008,0.0042083333
13515,199701,0.0693095271,0.0681120957,0.004175
13546,199702,0.0258128682,0.0214656781,0.004225
13574,199703,-0.00382078,-0.005675329,0.0043083333
13605,199704,0.0597556501,0.0641948219,0.00425
13635,199705,0.0634626249,0.0652766551,0.0040166667
13666,199706,0.0286302571,0.0289220229,0.0042083333
13696,199707,0.0663489385,0.0692561359,0.00425
13727,199708,-0.094778247,-0.092784293,0.0042416667
13758,199709,0.0676612324,0.0663842182,0.0041416667
13788,199710,-0.034465863,-0.035262868,0.0042166667
13819,199711,0.0714463917,0.0740853682,0.0042166667
13849,199712,0.0450439539,0.0422286355,0.0043333333
13880,199801,-0.015004633,-0.017362317,0.0042
13911,199802,0.0752605974,0.0745230184,0.0043166667
13939,199803,0.0485800075,0.0473174333,0.0041583333
13970,199804,0.0250504881,0.0257737603,0.0040416667
14000,199805,-0.021356346,-0.017762275,0.004075
14031,199806,0.0545414634,0.0532912697,0.0041416667
14061,199807,-0.076840178,-0.068348861,0.004125
14092,199808,-0.072809585,-0.074500649,0.0039666667
14123,199809,-0.001457267,0.0034599038,0.0035416667
14153,199810,0.1164136512,0.1189093389,0.0035083333
14184,199811,0.0296237683,0.0319367042,0.0036833333
14214,199812,0.0022034212,0.0064342053,0.003625
14245,199901,-0.008145215,-0.010483249,0.0036333333
14276,199902,-0.030069246,-0.030731051,0.0037916667
14304,199903,0.0370508781,0.0379049306,0.0036333333
14335,199904,0.0711884162,0.0741178956,0.0036916667
14365,199905,0.0037276565,0.007315088,0.0037583333
14396,199906,-0.040949151,-0.036677603,0.0038916667
14426,199907,0.0066997649,0.0051585743,0.00385
14457,199908,0.0294445493,0.0285791058,0.0040416667
14488,199909,-0.080017544,-0.078361165,0.003925
14518,199910,0.0637442671,0.0559819955,0.0041333333
14549,199911,0.0637663993,0.0609985902,0.0042916667
14579,199912,0.0054104767,0.0037739922,0.0043083333
14610,200001,-0.018279094,-0.016946249,0.0046083333
14641,200002,-0.095018113,-0.098851462,0.0047
14670,200003,-0.075390867,-0.070027673,0.0047666667
14701,200004,0.0447843495,0.0412794815,0.0047083333
14731,200005,0.0663233258,0.0643594871,0.004575
14762,200006,-0.050952977,-0.04924506,0.00475
14792,200007,0.0332528035,0.0322288914,0.0050166667
14823,200008,0.0162418968,0.0218159745,0.0050916667
14854,200009,0.0671227851,0.0610883318,0.005025
14884,200010,0.0418548127,0.0367957613,0.005125
14915,200011,-0.005166646,-0.002181179,0.0050083333
14945,200012,0.0189112289,0.0152310597,0.004775
14976,200101,-0.05283528,-0.040153628,0.0040333333
15007,200102,-0.031625016,-0.033128654,0.0039333333
15035,200103,-0.050861272,-0.051888263,0.0034833333
15066,200104,0.0138313251,0.0208421897,0.0031916667
15096,200105,0.0408457371,0.0385456798,0.00295
15127,200106,-0.021021667,-0.019230357,0.0029666667
15157,200107,0.0109937003,0.0107510014,0.0028666667
15188,200108,0.019732972,0.0189632236,0.0027333333
15219,200109,-0.058878907,-0.056285719,0.0019166667
15249,200110,0.0053428921,0.0124472875,0.001675
15280,200111,0.0249603722,0.0241520131,0.0014416667
15310,200112,0.0283327698,0.0299108487,0.0013916667
15341,200201,0.0062516789,0.0008707056,0.0014333333
15372,200202,0.0488483725,0.0438706843,0.0014333333
15400,200203,0.0533338001,0.0558891242,0.00145
15431,200204,-0.001250408,-0.007429266,0.0014416667
15461,200205,0.0087515509,0.005927882,0.0014208333
15492,200206,-0.012466473,-0.013826629,0.0013825
15522,200207,-0.055458964,-0.054175624,0.0013875
15553,200208,-0.023005437,-0.01777138,0.0013708333
15584,200209,-0.041408339,-0.046949308,0.0012725
15614,200210,0.0277104369,0.0374158528,0.0011808333
15645,200211,0.0136557039,0.0134529466,0.0010016667
15675,200212,-0.001590835,-0.003552558,0.000985
15706,200301,-0.027258349,-0.026655958,0.0009566667
15737,200302,-0.025384517,-0.024280459,0.0009791667
15765,200303,0.0334617736,0.0329819006,0.0009083333
15796,200304,0.0151518144,0.0164365778,0.0009175
15826,200305,0.0783208915,0.0765010412,0.0009041667
15857,200306,0.0104883587,0.0067778636,0.0006983333
15887,200307,-0.01465461,-0.01565972,0.0007725
15918,200308,0.0050095649,0.0053367947,0.0008
15949,200309,0.0070322829,0.0111354097,0.0007716667
15979,200310,0.0561073863,0.0537181615,0.0007766667
16010,200311,-0.007320966,-0.006354762,0.0007566667
16040,200312,0.0890587497,0.0865276643,0.0007558333
16071,200401,0.0011263808,0.0031377591,0.0007475
16102,200402,0.0232227631,0.0215013574,0.0007725
16131,200403,0.0060425057,0.0046268881,0.0007691667
16162,200404,-0.005394445,-0.005493259,0.0007933333
16192,200405,0.0188367251,0.0173741744,0.0008766667
16223,200406,0.0199848429,0.0187124366,0.0010858333
16253,200407,-0.028133537,-0.028019851,0.0011766667
16284,200408,0.021122663,0.0212429917,0.0013066667
16315,200409,-0.006870683,-0.007245892,0.001395
16345,200410,0.0005772201,0.0015852899,0.0015558333
16376,200411,0.0291620543,0.0292544942,0.0018183333
16406,200412,0.027072256,0.0278387071,0.0018183333
16437,200501,-0.008049014,-0.009800823,0.0020183333
16468,200502,0.0729822802,0.0686216987,0.0022416667
16496,200503,-0.013644737,-0.014277401,0.0022683333
16527,200504,0.0040250635,-0.001732888,0.0023641667
16557,200505,0.0274113234,0.0255602088,0.0024016667
16588,200506,-0.010892401,-0.01144037,0.00255
16618,200507,0.0378851143,0.0419279181,0.0027766667
16649,200508,0.0171513861,0.0141355936,0.0028583333
16680,200509,0.0443088317,0.0427000241,0.0028916667
16710,200510,-0.061511104,-0.05847394,0.0031708333
16741,200511,0.0197008752,0.0217348517,0.0032141667
16771,200512,-0.009311377,-0.011297414,0.0033208333
16802,200601,0.0551161158,0.0515764586,0.0036416667
16833,200602,0.0005167367,-0.000626536,0.0037558333
16861,200603,-0.005824449,-0.005235306,0.0037625
16892,200604,0.0177857688,0.0171800619,0.003875
16922,200605,-0.010595869,-0.011779436,0.0039291667
16953,200606,0.0085527686,0.0074316987,0.00405
16983,200607,0.0464418385,0.0449913076,0.0041125
17014,200608,0.0390509304,0.0388416999,0.0040875
17045,200609,0.0039564314,0.004221453,0.0039666667
17075,200610,0.0415714926,0.0450690798,0.0041166667
17106,200611,0.0275532426,0.0256754936,0.004075
17136,200612,0.0210521256,0.0224648351,0.0040708333
17167,200701,-0.00188993,-0.001218221,0.0041458333
17198,200702,-0.026196391,-0.026974826,0.0041625
17226,200703,0.0305901867,0.0300806471,0.0040791667
17257,200704,0.0442139252,0.0457880685,0.0039375
17287,200705,0.0170154834,0.0169575041,0.003825
17318,200706,-0.018786885,-0.01883842,0.0038916667
17348,200707,0.0067625321,0.0083353282,0.0040083333
17379,200708,0.0354687896,0.0365878587,0.003325
17410,200709,0.0660264265,0.0642984392,0.0030833333
17440,200710,0.0159916093,0.0147114294,0.0031833333
17471,200711,0.0144719719,0.0113414908,0.0025583333
17501,200712,0.0114577763,0.0125876444,0.0026166667
17532,200801,-0.091275794,-0.08790614,0.0015583333
17563,200802,0.0099341762,0.0112602792,0.0014875
17592,200803,0.0102991837,0.011111745,0.0010625
17623,200804,0.0223895632,0.0233682527,0.0011166667
17653,200805,-0.020576602,-0.016598378,0.0015416667
17684,200806,-0.056040027,-0.057041654,0.0014208333
17714,200807,-0.007663106,-0.003591367,0.0013625
17745,200808,0.0365098036,0.0332997769,0.0014083333
17776,200809,-0.00335807,-0.003585276,0.00075
17806,200810,-0.081515937,-0.085092922,0.0003625
17837,200811,0.017021897,0.0126982725,0.0000166667
17867,200812,-0.018402678,-0.016776523,0.0000958333
17898,200901,-0.065337604,-0.058228473,0.0001833333
17929,200902,-0.116729921,-0.10975958,0.0002083333
17957,200903,0.0414556553,0.0408486021,0.0001666667
17988,200904,0.0236402539,0.0225793177,0.0001041667
18018,200905,0.0540263624,0.0536101686,0.0001083333
18049,200906,0.0088169312,0.0076456709,0.00015
18079,200907,0.0546788486,0.0571403053,0.0001458333
18110,200908,-0.002752631,-0.003263818,0.0001083333
18141,200909,0.0536371743,0.0520037756,0.0000958333
18171,200910,0.0128433016,0.013247094,0.0000375
18202,200911,0.065767168,0.0649701395,0.0000416667
18232,200912,-0.014242701,-0.011795914,0.0000416667
18263,201001,-0.029347913,-0.030380485,0.0000583333
18294,201002,0.0128768797,0.0131729221,0.0000958333
18322,201003,0.0394962203,0.0373566705,0.000125
18353,201004,0.0011510283,0.0011088765,0.0001291667
18383,201005,-0.063291103,-0.060194666,0.000125
18414,201006,-0.031129756,-0.029062611,0.0001416667
18444,201007,0.0626744359,0.0614973277,0.0001166667
18475,201008,-0.018308674,-0.017253541,0.0001125
18506,201009,0.0384025223,0.0397588834,0.0001291667
18536,201010,0.0561638155,0.0571574722,0.0000916667
18567,201011,0.003160893,0.0018861501,0.0001333333
18597,201012,0.0522158249,0.0519274136,0.0000958333
18628,201101,0.0215198886,0.0227538745,0.0001208333
18659,201102,0.0276752293,0.0263387742,0.0001125
18687,201103,-0.002971202,-0.001363218,0.000075
18718,201104,0.0362250951,0.0372534869,0.0000333333
18748,201105,-0.01045781,-0.008940685,0.0000333333
18779,201106,-0.024597502,-0.022415751,0.0000125
18809,201107,-0.016957602,-0.013380168,0.000075
18840,201108,-0.018494477,-0.015865892,0.0000125
18871,201109,-0.032509001,-0.028621563,8.3333333E-6
18901,201110,0.0580865934,0.0555526271,4.1666667E-6
18932,201111,0.0166684321,0.0164599146,0.0000125
18962,201112,0.0428141335,0.0408096918,4.1666667E-6
18993,201201,-0.023699618,-0.022935037,0.0000458333
19024,201202,0.0351471292,0.035867768,0.0000625
19053,201203,0.0081900983,0.0108237903,0.0000541667
19084,201204,-0.001765894,-0.002428056,0.000075
19114,201205,-0.035050192,-0.035796521,0.00005
19145,201206,0.0316656539,0.0314071442,0.0000666667
19175,201207,0.0283763843,0.0288069084,0.0000833333
19206,201208,-0.010197517,-0.009540568,0.0000708333
19237,201209,0.0283456569,0.0295090676,0.000075
19267,201210,-0.019203583,-0.019181252,0.0000875
19298,201211,-0.011615079,-0.011645126,0.0000625
19328,201212,-0.008792559,-0.008975428,0.0000291667
19359,201301,0.0682728594,0.0669187811,0.0000541667
19390,201302,0.0373107666,0.0338368451,0.0000833333
19418,201303,0.0373431491,0.037420792,0.0000541667
19449,201304,0.01066569,0.009511939,0.0000375
19479,201305,0.0004736197,-0.000923044,0.000025
19510,201306,0.0106925936,0.0070056804,0.000025
19540,201307,0.033899054,0.033100356,0.000025
19571,201308,-0.052809354,-0.05229333,0.0000166667
19602,201309,-0.011506525,-0.010271356,4.1666667E-6
19632,201310,0.0678089153,0.0623302312,0.0000275
19663,201311,0.0357602037,0.0333335783,0.0000458333
19693,201312,0.0267046361,0.0264792213,0.0000525
19724,201401,-0.060248246,-0.060870261,8.3333333E-6
19755,201402,0.0341779394,0.034419988,0.0000358333
19783,201403,0.0171404241,0.0176790064,0.0000233333
19814,201404,0.044908377,0.0442929273,0.0000166667
19844,201405,-0.006953695,-0.009850587,0.000025
19875,201406,0.0111213646,0.0105090258,0.0000166667
19905,201407,-0.0238631,-0.021429109,0.000015
19936,201408,0.0500044309,0.0483811607,0.000015
19967,201409,-0.014697921,-0.013535712,0.0000108333
19997,201410,0.0386786436,0.0318357206,2.5E-6
20028,201411,0.0164343379,0.0150869628,4.1666667E-6
20058,201412,0.0090890563,0.0085016917,0.0000308333
20089,201501,-0.042469979,-0.042035594,4.1666667E-6
20120,201502,0.013387465,0.0146106621,6.6666667E-6
20148,201503,-0.042591302,-0.040491069,0.0000208333
20179,201504,0.007316042,0.008474881,4.1666667E-6
20209,201505,-0.006825955,-0.007207354,2.5E-6
20240,201506,-0.026297286,-0.02599443,8.3333333E-6
20270,201507,0.0059829459,0.0057236854,0.0000483333
20301,201508,-0.057830078,-0.058773387,0.0000416667
20332,201509,0.0096027835,0.0101559511,4.1666667E-6
20362,201510,0.0797842831,0.0740053215,0.0000566667
20393,201511,-0.009207321,-0.009633469,0.0001416667
20423,201512,0.0088591767,0.0098880314,0.0001233333
20454,201601,-0.002678427,-0.003962032,0.00025
20485,201602,0.0107372781,0.0112859536,0.0002566667
20514,201603,0.0622239179,0.0659918224,0.0001608333
20545,201604,0.0067785997,0.0043595193,0.0001608333
20575,201605,0.0056363942,0.00711223,0.0002358333
20606,201606,0.040895848,0.0406357652,0.0002066667
20636,201607,-0.00902135,-0.007148182,0.0002
20667,201608,-0.00369949,-0.004184062,0.0002666667
20698,201609,0.0134949202,0.0131503337,0.0002166667
20728,201610,-0.019537697,-0.019496358,0.0002458333
20759,201611,-0.007908473,-0.007336654,0.00039
20789,201612,0.035566317,0.0361295963,0.0004
20820,201701,-0.005337286,-0.002556673,0.0004166667
20851,201702,0.0252856719,0.0250598912,0.0004358333
20879,201703,0.0077953747,0.0058981278,0.000615
20910,201704,0.0076973905,0.0035746735,0.00065
20940,201705,0.0139253502,0.0124923601,0.0007916667
20971,201706,-0.009122675,-0.007538558,0.0008275
21001,201707,0.0376864505,0.033693922,0.0008775
21032,201708,-0.008284656,-0.007487828,0.000815
21063,201709,0.0181442231,0.0177579063,0.0008566667
21093,201710,0.0046848974,0.0070151989,0.0009358333
21124,201711,0.0236645175,0.0222653408,0.0010316667
21154,201712,0.0090993053,0.0108611726,0.0011291667
21185,201801,0.0062899214,0.0072987518,0.0011916667
21216,201802,-0.087987362,-0.086722482,0.0013483333
21244,201803,0.0008964097,0.0018438673,0.0013916667
21275,201804,-0.005176715,-0.007984325,0.0014691667
21305,201805,0.0155994072,0.0134709879,0.0015583333
21336,201806,0.0381262999,0.0370018376,0.0015666667
21366,201807,0.0277842738,0.0284794126,0.0016541667
21397,201808,-0.001731125,-0.001497614,0.0017125
21428,201809,0.0298440869,0.0303998516,0.0017916667
21458,201810,0.0114030178,0.0029384524,0.0018983333
21489,201811,0.031095369,0.0360618349,0.0019233333
21519,201812,-0.068775739,-0.068199797,0.0019166667
21550,201901,0.0473498392,0.0509425789,0.00195
21581,201902,0.0204276435,0.0212698861,0.0019858333
21609,201903,0.0304908816,0.0317732214,0.00194
21640,201904,0.0306604001,0.0284319594,0.0019733333
21670,201905,-0.044685564,-0.045585975,0.0019108333
21701,201906,0.0669255689,0.0672947505,0.0016958333
21731,201907,0.0171336493,0.0202094066,0.0016916667
21762,201908,-0.008774884,-0.008786621,0.0016108333
21793,201909,0.0259511649,0.0283599915,0.001475
21823,201910,-0.016586972,-0.019142829,0.0012483333
21854,201911,0.0111809325,0.0079125209,0.0012833333
21884,201912,0.0285079412,0.0282687925,0.0012541667
21915,202001,-0.018853173,-0.015219204,0.0012583333
21946,202002,-0.116452471,-0.115654416,0.001025
21975,202003,-0.142211922,-0.139310409,0.000025
22006,202004,0.0882484373,0.0917704408,0.000075
22036,202005,-0.007447523,-0.00740757,0.0001066667
22067,202006,0.0142007847,0.0114245448,0.0001125
22097,202007,0.0301541915,0.0315022914,0.0000691667
22128,202008,0.023805227,0.022083943,0.0000791667
